date,price,open,high,low,vol,change
13/01/2021,24921,25199.7,25339.1,24753.7,28.31M,-0.45%
14/01/2021,24781.6,24921,24921,24447.1,30.76M,-0.56%
15/01/2021,24809.5,24698,25116.1,24698,25.95M,0.11%
18/01/2021,24865.2,24809.5,25004.6,24670.1,31.79M,0.22%
19/01/2021,23192.7,24865.2,24865.2,23136.9,45.24M,-6.73%
20/01/2021,23248.4,23415.7,23945.3,22300.6,66.54M,0.24%
21/01/2021,24642.2,23889.6,24642.2,23304.2,36.56M,6.00%
22/01/2021,24335.6,24698,24921,24279.8,25.97M,-1.24%
25/01/2021,24363.5,24112.6,25339.1,24028.9,58.08M,0.11%
26/01/2021,23582.9,24307.7,24307.7,23192.7,42.29M,-3.20%
27/01/2021,22467.9,23081.2,23638.7,22021.9,49.24M,-4.73%
28/01/2021,20906.9,20962.6,21771,20906.9,87.64M,-6.95%
29/01/2021,21826.8,20628.1,22272.8,20628.1,70.64M,4.40%
1/2/2021,21380.7,21743.1,22217,21297.1,37.42M,-2.04%
2/2/2021,22579.4,21464.4,22579.4,21325,50.09M,5.61%
3/2/2021,23415.7,22969.7,23610.8,22858.2,61.14M,3.70%
4/2/2021,23304.2,23415.7,23527.2,23164.8,39.05M,-0.48%
5/2/2021,23694.4,23387.8,23805.9,23248.4,41.02M,1.67%
8/2/2021,22802.4,23694.4,23750.2,22300.6,57.77M,-3.76%
9/2/2021,23304.2,22802.4,23359.9,22551.5,45.92M,2.20%
17/02/2021,24224.1,23666.6,24224.1,23582.9,42.56M,3.95%
18/02/2021,24447.1,24196.2,24530.7,23945.3,37.46M,0.92%
19/02/2021,24224.1,24140.4,24475,24028.9,29.85M,-0.91%
22/02/2021,24196.2,24224.1,24753.7,23973.2,37.49M,-0.12%
23/02/2021,24140.4,24084.7,24391.3,23945.3,31.45M,-0.23%
24/02/2021,24307.7,24335.6,24753.7,24140.4,47.88M,0.69%
25/02/2021,24614.3,24530.7,24753.7,24335.6,38.49M,1.26%
26/02/2021,25422.7,24363.5,25478.5,24307.7,71.83M,3.28%
1/3/2021,25757.2,25785.1,25813,25534.2,38.61M,1.32%
2/3/2021,26036,26091.8,26259,25757.2,41.54M,1.08%
3/3/2021,26091.8,25952.4,26231.1,25924.5,39.07M,0.21%
4/3/2021,25590,26147.5,26147.5,25088.2,49.07M,-1.92%
5/3/2021,25645.7,25450.6,25701.5,25144,37.55M,0.22%
8/3/2021,25813,25980.2,26147.5,25645.7,31.20M,0.65%
9/3/2021,25562.1,25645.7,25757.2,25116.1,28.59M,-0.97%
10/3/2021,25422.7,25562.1,25562.1,25171.8,27.68M,-0.55%
11/3/2021,25868.7,25590,26008.1,25534.2,27.32M,1.75%
12/3/2021,25896.6,25980.2,25980.2,25757.2,21.33M,0.11%
15/03/2021,25924.5,25980.2,26147.5,25868.7,20.89M,0.11%
16/03/2021,25701.5,25980.2,25980.2,25534.2,24.74M,-0.86%
17/03/2021,25813,25729.4,25896.6,25673.6,21.40M,0.43%
18/03/2021,25980.2,26036,26063.9,25840.9,19.60M,0.65%
19/03/2021,26286.9,25980.2,26454.1,25980.2,32.28M,1.18%
22/03/2021,26063.9,26370.5,26454.1,26036,19.39M,-0.85%
23/03/2021,25980.2,26008.1,26259,25868.7,21.92M,-0.32%
24/03/2021,25339.1,25673.6,25840.9,25144,41.51M,-2.47%
25/03/2021,25088.2,25478.5,25506.4,24976.7,34.98M,-0.99%
26/03/2021,25757.2,25367,25757.2,25116.1,49.33M,2.67%
29/03/2021,25813,25924.5,25980.2,25729.4,23.26M,0.22%
30/03/2021,25896.6,25924.5,26063.9,25701.5,23.40M,0.32%
31/03/2021,26091.8,25896.6,26398.4,25840.9,28.65M,0.75%
1/4/2021,27039.5,26203.3,27039.5,26175.4,48.58M,3.63%
2/4/2021,27346.2,27206.8,27485.5,27095.3,29.27M,1.13%
5/4/2021,27485.5,27597,27652.8,27290.4,26.99M,0.51%
6/4/2021,27541.3,27485.5,27624.9,27374,24.63M,0.20%
7/4/2021,27569.2,27541.3,27652.8,27262.5,25.29M,0.10%
8/4/2021,27513.4,27597,27652.8,27318.3,21.01M,-0.20%
9/4/2021,27624.9,27485.5,27820.1,27346.2,27.42M,0.41%
12/4/2021,28544.8,27820.1,28712.1,27736.4,47.40M,3.33%
13/04/2021,27931.6,28712.1,28712.1,27931.6,47.31M,-2.15%
14/04/2021,29548.4,27931.6,29715.6,27820.1,50.46M,5.79%
15/04/2021,30384.6,29827.1,30496.1,29269.6,56.30M,2.83%
16/04/2021,30440.4,30161.6,31053.6,29827.1,49.90M,0.18%
19/04/2021,32224.4,30774.9,32224.4,30496.1,61.09M,5.86%
20/04/2021,31889.9,32335.9,32670.4,31220.9,66.39M,-1.04%
22/04/2021,30663.4,31499.7,32280.2,30663.4,58.00M,-3.85%
23/04/2021,31443.9,30942.1,31443.9,30551.9,50.01M,2.55%
26/04/2021,30719.1,31499.7,31555.4,30663.4,44.15M,-2.31%
27/04/2021,31388.2,30719.1,31443.9,30328.9,37.37M,2.18%
28/04/2021,31220.9,31388.2,31499.7,30942.1,27.41M,-0.53%
29/04/2021,32391.7,31499.7,32726.2,31443.9,48.93M,3.75%
4/5/2021,33339.5,31945.7,33674,31778.4,57.91M,2.93%
5/5/2021,33060.7,33451,33618.2,33060.7,42.94M,-0.84%
6/5/2021,33116.5,33060.7,33618.2,32781.9,37.93M,0.17%
7/5/2021,33897,33005,34287.2,32949.2,51.87M,2.36%
10/5/2021,35123.5,33897,35290.8,33897,49.42M,3.62%
11/5/2021,34566,35290.8,35290.8,34566,51.89M,-1.59%
12/5/2021,34956.3,34343,34956.3,34175.7,51.45M,1.13%
13/05/2021,34287.2,34789,35123.5,34287.2,43.27M,-1.91%
14/05/2021,34231.5,34566,34844.8,34008.5,55.84M,-0.16%
17/05/2021,34510.2,34231.5,34789,33785.5,59.68M,0.81%
18/05/2021,35346.5,34844.8,35513.8,34844.8,68.70M,2.42%
19/05/2021,36851.8,35681,37186.3,35402.3,49.86M,4.26%
20/05/2021,37130.6,36907.6,37186.3,36517.3,37.82M,0.76%
21/05/2021,36573.1,36851.8,37019.1,36461.5,40.28M,-1.50%
24/05/2021,36461.5,36573.1,36851.8,36238.5,41.40M,-0.31%
25/05/2021,37576.6,36405.8,37799.6,36350,39.82M,3.06%
26/05/2021,37799.6,37576.6,37799.6,37465.1,27.18M,0.59%
27/05/2021,37242.1,37743.8,37799.6,36907.6,33.63M,-1.47%
28/05/2021,37409.3,37409.3,37520.8,36907.6,52.89M,0.45%
31/05/2021,39884.6,39884.6,39884.6,39203.5,78.40M,6.62%
1/6/2021,42003.7,41322.6,42609.2,40868.5,43.44M,5.31%
2/6/2021,40868.5,41625.3,42003.7,40111.7,52.00M,-2.70%
3/6/2021,41095.5,40868.5,41322.6,40111.7,48.06M,0.56%
4/6/2021,41246.9,41246.9,41852.4,41095.5,41.18M,0.37%
7/6/2021,39884.6,41322.6,41625.3,39354.9,45.05M,-3.30%
8/6/2021,37841.2,39581.9,40036,37841.2,50.03M,-5.12%
9/6/2021,38068.3,37765.5,38900.8,37084.4,53.24M,0.60%
10/6/2021,39052.1,37992.6,39808.9,37841.2,38.11M,2.58%
11/6/2021,40187.4,39430.5,40263,39052.1,37.74M,2.91%
14/06/2021,40565.8,40490.1,41095.5,39960.3,37.16M,0.94%
15/06/2021,40263,40111.7,40565.8,39884.6,28.22M,-0.75%
16/06/2021,39203.5,39960.3,40111.7,38976.4,37.61M,-2.63%
17/06/2021,38900.8,38522.3,39279.2,38522.3,26.28M,-0.77%
18/06/2021,39430.5,39279.2,40338.7,38900.8,37.69M,1.36%
21/06/2021,38749.4,39354.9,39733.3,38749.4,29.39M,-1.73%
22/06/2021,39127.8,38976.4,39657.6,38749.4,24.00M,0.98%
23/06/2021,38900.8,39052.1,39279.2,38673.7,24.13M,-0.58%
24/06/2021,38295.3,38900.8,39127.8,38219.6,25.98M,-1.56%
25/06/2021,38371,38371,38749.4,37689.8,34.05M,0.20%
28/06/2021,39657.6,38825.1,39733.3,38446.7,50.91M,3.35%
29/06/2021,39203.5,39733.3,39808.9,39127.8,25.78M,-1.15%
30/06/2021,38976.4,39279.2,39506.2,38900.8,24.57M,-0.58%
1/7/2021,39960.3,39127.8,40036,39052.1,51.57M,2.52%
2/7/2021,39581.9,40111.7,40414.4,39506.2,39.08M,-0.95%
5/7/2021,38749.4,39581.9,39581.9,38446.7,48.19M,-2.10%
6/7/2021,36327.6,38673.7,39506.2,36327.6,62.68M,-6.25%
7/7/2021,37765.5,37084.4,37765.5,36214,52.72M,3.96%
8/7/2021,37084.4,37765.5,37916.9,36781.6,39.82M,-1.80%
9/7/2021,35797.8,36706,37160.1,34813.9,60.96M,-3.47%
12/7/2021,34019.2,35343.7,35495,33300.3,98.15M,-4.97%
13/07/2021,34435.5,34435.5,34813.9,33716.5,33.15M,1.22%
14/07/2021,34057.1,34738.2,34813.9,33565.1,35.66M,-1.10%
15/07/2021,35192.3,33754.4,35457.2,33754.4,37.11M,3.33%
16/07/2021,35381.5,35343.7,35911.3,35192.3,28.93M,0.54%
19/07/2021,33527.3,34549,34738.2,33300.3,51.25M,-5.24%
20/07/2021,35797.8,34057.1,35797.8,33640.8,53.26M,6.77%
21/07/2021,35381.5,35949.1,36176.2,35268,27.74M,-1.16%
22/07/2021,35722.1,35343.7,36100.5,35041,27.94M,0.96%
23/07/2021,34662.5,35419.4,35570.7,34662.5,37.58M,-2.97%
26/07/2021,34511.2,34435.5,34889.6,33792.2,30.53M,-0.44%
27/07/2021,34965.3,34813.9,35419.4,34586.9,23.67M,1.32%
28/07/2021,35343.7,35041,35646.4,34965.3,27.58M,1.08%
29/07/2021,35646.4,35532.9,36100.5,35419.4,42.62M,0.86%
30/07/2021,35797.8,35646.4,36024.8,35646.4,29.92M,0.42%
2/8/2021,35759.9,35646.4,36251.9,35495,31.47M,-0.11%
