date,price,Open,High,Low,Vol.,Change %
10/31/2016,5200,5300,5350,5200,1.64M,-3.17%
11/1/2016,5100,5100,5190,5100,1.99M,-1.92%
11/2/2016,5170,5200,5260,5170,3.01M,1.37%
11/3/2016,5120,5170,5180,5100,1.42M,-0.97%
11/4/2016,5120,5120,5160,5100,1.04M,0.00%
11/7/2016,5130,5100,5190,5100,1.08M,0.20%
11/8/2016,5160,5240,5240,5160,852.98K,0.58%
11/9/2016,5130,5150,5170,4950,2.59M,-0.58%
11/10/2016,5340,5130,5450,5130,3.17M,4.09%
11/11/2016,5500,5340,5590,5340,5.13M,3.00%
11/14/2016,5360,5520,5520,5360,2.74M,-2.55%
11/15/2016,5360,5360,5450,5350,2.68M,0.00%
11/16/2016,5730,5480,5730,5470,3.59M,6.90%
11/17/2016,5800,5900,6070,5800,9.15M,1.22%
11/18/2016,5700,5720,5800,5680,4.74M,-1.72%
11/21/2016,6040,5850,6050,5800,6.58M,5.96%
11/22/2016,6230,6230,6300,6170,6.23M,3.15%
11/23/2016,6200,6200,6240,6110,4.30M,-0.48%
11/24/2016,6450,6400,6580,6360,8.23M,4.03%
11/25/2016,6330,6460,6480,6260,4.26M,-1.86%
11/28/2016,6220,6250,6300,6180,4.25M,-1.74%
11/29/2016,6210,6220,6300,6210,3.67M,-0.16%
11/30/2016,5910,6200,6210,5900,4.70M,-4.83%
12/1/2016,5900,6120,6120,5900,1.94M,-0.17%
12/2/2016,5650,5830,5890,5500,4.12M,-4.24%
12/5/2016,5650,5740,5770,5620,1.85M,0.00%
12/6/2016,5520,5650,5650,5440,2.43M,-2.30%
12/7/2016,5520,5400,5530,5400,1.82M,0.00%
12/8/2016,5560,5600,5720,5530,1.48M,0.72%
12/9/2016,5530,5600,5630,5510,1.14M,-0.54%
12/12/2016,5580,5630,5740,5550,3.27M,0.90%
12/13/2016,5400,5590,5590,5390,3.01M,-3.23%
12/14/2016,5750,5550,5750,5400,4.86M,6.48%
12/15/2016,5730,5800,5860,5690,3.94M,-0.35%
12/16/2016,5780,5730,5820,5700,4.13M,0.87%
